lat,lon,model,snw_trend_pct
29.0,53.0,CanESM5_r1i1p1f1,0.0
29.0,53.0,GFDL-CM4_r1i1p1f1,-1.0480626480713209
29.0,53.0,GFDL-ESM4_r1i1p1f1,0.41793139808439883
29.0,53.0,IPSL-CM6A-LR_r1i1p1f1,0.0007910156903095198
29.0,53.0,MRI-ESM2-0_r1i1p1f1,-0.44893433015862066
29.0,55.0,ACCESS-CM2_r1i1p1f1,0.0
29.0,55.0,ACCESS-ESM1-5_r1i1p1f1,-0.11129058215288433
29.0,55.0,BCC-CSM2-MR_r1i1p1f1,0.003862939990827769
29.0,55.0,CNRM-CM6-1_r1i1p1f2,-0.5375925057169008
29.0,55.0,CanESM5_r1i1p1f1,0.0
29.0,55.0,GFDL-CM4_r1i1p1f1,-1.350723580051383
29.0,55.0,GFDL-ESM4_r1i1p1f1,0.8584973309161563
29.0,55.0,IPSL-CM6A-LR_r1i1p1f1,0.0004874648287626221
29.0,55.0,MRI-ESM2-0_r1i1p1f1,-0.6650140831951094
29.0,57.0,ACCESS-CM2_r1i1p1f1,0.0
29.0,57.0,ACCESS-ESM1-5_r1i1p1f1,-0.17235627590206296
29.0,57.0,BCC-CSM2-MR_r1i1p1f1,3.9791299700796874e-07
29.0,57.0,CNRM-CM6-1_r1i1p1f2,-0.5778044112252146
29.0,57.0,CanESM5_r1i1p1f1,0.0
29.0,57.0,GFDL-CM4_r1i1p1f1,-1.534623097208345
29.0,57.0,GFDL-ESM4_r1i1p1f1,3.6851710103797677
29.0,57.0,IPSL-CM6A-LR_r1i1p1f1,-0.0013158757832475783
29.0,57.0,MRI-ESM2-0_r1i1p1f1,-0.12025312412590967
29.0,59.0,ACCESS-CM2_r1i1p1f1,0.0
29.0,59.0,ACCESS-ESM1-5_r1i1p1f1,-0.014196110515445911
29.0,59.0,BCC-CSM2-MR_r1i1p1f1,1.3232820141299051e-25
29.0,59.0,CNRM-CM6-1_r1i1p1f2,0.0
29.0,59.0,CanESM5_r1i1p1f1,0.0
29.0,59.0,GFDL-CM4_r1i1p1f1,-1.4722120676832653
29.0,59.0,GFDL-ESM4_r1i1p1f1,-0.8402474600905872
29.0,59.0,IPSL-CM6A-LR_r1i1p1f1,-0.0011268801951421696
29.0,59.0,MRI-ESM2-0_r1i1p1f1,0.0
29.0,67.0,ACCESS-CM2_r1i1p1f1,0.0
29.0,67.0,ACCESS-ESM1-5_r1i1p1f1,0.0
29.0,67.0,BCC-CSM2-MR_r1i1p1f1,0.0
29.0,67.0,CNRM-CM6-1_r1i1p1f2,-0.005621176413767879
29.0,67.0,GFDL-CM4_r1i1p1f1,-0.6172871075453018
29.0,67.0,GFDL-ESM4_r1i1p1f1,-1.090588499557198
29.0,67.0,IPSL-CM6A-LR_r1i1p1f1,0.0
29.0,67.0,MRI-ESM2-0_r1i1p1f1,0.0
29.0,69.0,ACCESS-ESM1-5_r1i1p1f1,0.0
29.0,69.0,BCC-CSM2-MR_r1i1p1f1,0.0
