,MRBID,RIVER_BASI,mod_u_frac,iv_u_frac,swe_u_frac,tp_u_frac,source_max,source_col
504,6903,VOLGA,0.3753190308646852,0.2944997923565771,0.23127858466357598,0.09890259211516161,mod_u_frac,#4daf4a
505,2914,TARIM HE (also TALIMU HE),0.23406749628821563,0.2291946094100071,0.3788638174391456,0.1578740768626316,swe_u_frac,#984ea3
506,2902,ARAL SEA,0.24011295168097374,0.2365086892610833,0.34526236442548935,0.17811599463245356,swe_u_frac,#984ea3
507,2433,YANGTZE,0.30331413072518376,0.3539977771521781,0.18579314700962074,0.1568949451130174,iv_u_frac,#e41a1c
508,4123,MACKENZIE,0.39031723910654587,0.310203137793202,0.13767673615245576,0.1618028869477964,mod_u_frac,#4daf4a
510,2401,AMUR,0.3636410597898438,0.22673749097493673,0.26054605414301973,0.1490753950921996,mod_u_frac,#4daf4a
511,2106,LENA,0.3254925381102992,0.2652875827670745,0.2430295177250226,0.1661903613976037,mod_u_frac,#4daf4a
513,2117,YENISEY,0.2805135815511298,0.280981114436241,0.2964203498512272,0.14208495416140196,swe_u_frac,#984ea3
515,2108,OB,0.3815324161158087,0.2974711003673621,0.14453025238209466,0.17646623113473447,mod_u_frac,#4daf4a
516,4219,MISSISSIPPI,0.40363336719198195,0.3829052282744266,0.11812706948791131,0.09533433504568013,mod_u_frac,#4daf4a
